0.81,1.07,183
0.87,1.11,222
0.5,0.63,194
0.73,0.78,153
0.67,0.95,124
0.7,0.97,86
0.84,1.2,96
0.4,0.82,99
1.09,0.82,131
0.75,0.95,134
0.65,0.89,160
0.68,0.81,171
0.95,1.06,146
0.94,0.85,101
0.91,0.97,57
0.61,0.95,158
0.62,0.82,263
0.56,0.77,150
0.49,0.85,138
0.66,1,95
0.71,0.93,99
0.78,1.07,166
0.69,0.82,119
0.59,0.87,164
,,
